objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_r,class,subClass
1237661970654888010,199.30536,6.5352991,18.18584,18.05159,17.85988,17.80957,17.81392,0.1020983,QSO,BROADLINE
1237661970654756871,198.90753,6.6045732,18.61773,18.56088,18.41101,18.44358,18.51668,0.1053467,QSO,BROADLINE
1237661974405775399,198.95614,6.3466285,17.58175,17.30738,17.19714,17.28493,17.11157,0.1068278,QSO,BROADLINE
1237661970654363665,198.02724,6.6063594,17.76301,17.52881,17.52468,17.56932,17.59567,0.1201396,QSO,BROADLINE
1237662262162227289,198.5465,8.6333114,18.65829,18.48713,18.35298,18.30599,17.95406,0.08362748,QSO,BROADLINE
1237664813374505027,198.71691,8.1002753,19.08218,18.97366,18.7558,18.86053,18.84282,0.07100318,QSO,BROADLINE
1237661972265435196,199.21158,7.8317409,18.95779,18.7446,18.84619,18.73354,18.55848,0.0710317,QSO,BROADLINE
1237662236398977034,199.46007,8.7232531,18.94228,18.91203,18.61126,18.54421,18.64046,0.06288897,QSO,BROADLINE
1237661976553652337,199.88346,7.9464174,19.14864,19.07662,18.91674,18.76164,18.50584,0.06831651,QSO,BROADLINE
1237659347489783949,200.29075,7.6505856,18.65437,18.6431,18.43781,18.44325,18.54253,0.09872622,QSO,BROADLINE
1237662263236624416,200.09168,9.341275,18.56145,18.37129,18.18769,18.30719,18.41106,0.07567453,QSO,BROADLINE
1237664814985445498,199.97293,8.7396531,18.25387,18.05954,18.0421,18.19058,18.32393,0.07167013,STAR,CarbonWD
1237662263236427780,199.59326,9.2904696,19.0994,18.99338,18.91138,18.65437,18.54449,0.07490695,QSO,BROADLINE
1237662237472850028,199.89426,9.4964167,17.28021,17.32848,17.75633,18.06816,18.33168,0.06467052,STAR,A0p
1237662262699622586,199.84325,8.9458211,19.24999,19.12082,18.88424,18.93011,18.87502,0.07605585,QSO,BROADLINE
1237662262699491353,199.44767,8.9026331,18.35232,18.19129,18.19342,18.18241,17.81002,0.0702481,QSO,BROADLINE
1237662237472391281,198.79956,9.6772386,19.10601,18.8807,18.74289,18.64762,18.46894,0.06868844,QSO,BROADLINE
1237662237472391179,198.78736,9.6205186,16.09945,16.23207,16.58544,16.92636,17.18471,0.06978863,STAR,WDmagnetic
1237662262699098197,198.61303,8.9434106,18.95025,19.01931,19.06241,18.86661,18.67957,0.07737299,QSO,BROADLINE
1237674469532827654,198.31653,9.3057338,17.44427,17.36445,17.30823,17.10469,17.09025,0.06145822,QSO,BROADLINE
1237662239083003950,198.8588,10.766358,18.88042,18.65412,18.49181,18.46254,18.32498,0.05656698,QSO,BROADLINE
1237662238009065617,198.42856,9.981993,19.43738,19.15862,19.08064,19.07425,18.86897,0.05407901,QSO,BROADLINE
1237662264846712932,198.9418,10.567311,18.56933,18.39708,18.44637,18.2826,18.33134,0.05582776,QSO,BROADLINE
1237662238009327709,198.98956,10.073554,17.75657,18.10041,18.61261,18.93544,19.33713,0.06087409,STAR,WD
1237662238009458788,199.26174,10.001623,19.06231,19.00854,18.95946,18.83631,18.77498,0.05526548,QSO,BROADLINE
1237662264310038578,199.41028,10.306196,17.78535,17.68058,17.53479,17.22457,17.19374,0.05278895,QSO,BROADLINE
