objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237662620797829478,SDSS J155454.16+310836.39,238.7257,31.14344,17.66,0.01,DC:,6592,1000,8,0.00212413548328942
1237661386546610288,SDSS J164553.83+310927.83,251.4743,31.15773,18.29,0.02,sdB,25806,357,5,0.000588123490128262
1237662504296382653,SDSS J161932.55+310941.47,244.8856,31.16152,18,0.01,DB,18475,93,7.909,0.0026245455106836
1237662303522324656,SDSS J163723.59+311304.33,249.3483,31.21787,18.84,0.02,sdB:,36740,1575,5.627,0.0019042451462242
1237664852572700703,SDSS J144416.66+312122.54,221.0694,31.35626,17.85,0.02,DA,15092,166,8.335,0.00275187291591297
1237662301373923348,SDSS J162411.53+312252.64,246.048,31.38129,17,0.01,He-sdO,100000,794,5.57,0.00091515942576617
1237668352430506248,SDSS J173117.84+312302.04,262.8243,31.3839,18.82,0.02,DA,18179,133,8.031,0.000768087224049232
1237662500009934881,SDSS J162936.87+312411.99,247.4036,31.40333,18.2,0.02,DAO,52174,1998,5.51,0.000805535439567802
1237661387620483174,SDSS J164950.07+312421.64,252.4586,31.40601,18.7,0.02,DA,17945,18,8.155,0.00206975556366804
1237655373578109041,SDSS J170241.54+312518.66,255.6731,31.42185,16.73,0.01,sdO,36052,181,5,0.000683747377259986
1237665225692348442,SDSS J115307.40+312737.73,178.2808,31.46048,18.59,0.02,DB,22000,859,7.787,0.00390363359826632
1237658191074492457,SDSS J082848.87+313134.77,127.2036,31.52632,18.42,0.01,DC,10018,1000,6.5,0.000435940593811876
1237662307270656147,SDSS J153602.81+313719.70,234.0117,31.62214,16.84,0.02,sdB,30732,75,5.83,0.00212920382704418
1237664852572307520,SDSS J144021.46+313749.80,220.0894,31.6305,18.85,0.02,DA,33072,271,7.465,0.00407168751451517
1237665582726119587,SDSS J173119.15+313831.09,262.8298,31.64197,18.63,0.01,He-sdB,12782,65,7.01,0.00121047272419161
1237662303521996867,SDSS J163421.40+313844.38,248.5892,31.64566,18.41,0.02,DA,100000,397,8.49,0.00134189887881795
1237671936582746233,SDSS J172411.83+313847.08,261.0493,31.64641,15.77,0.01,He-sdO,46667,43,7,0.00145196150935055
1237658192147906795,SDSS J082407.44+314210.51,126.031,31.70292,18.3,0.04,DA,18364,112,7.856,0.00251731791000844
1237665102210465840,SDSS J141212.67+314220.27,213.0528,31.70563,18.95,0.02,DA:,100000,9000,7.38,0.000862542503468137
1237661464914952265,SDSS J160341.46+314322.73,240.9227,31.72298,18.54,0.02,B/sdB,33135,417,5.529,0.000282892160292698
1237662337866530822,SDSS J160911.42+314627.66,242.2976,31.77435,18.71,0.01,DAB:,30252,599,5.26,0.00126257439335932
1237657628434563222,SDSS J081757.63+314805.83,124.4901,31.80162,17.95,0.01,DA,37565,355,8.101,0.00203474743096794
1237662500009541647,SDSS J162554.95+315435.21,246.479,31.90978,18.25,0.02,DAB/sdB,32621,359,6.02,0.000639672490804063
1237662697029304380,SDSS J143836.92+315539.50,219.6538,31.92764,18.91,0.02,DAZ:,7115,36,6.62,0.000316291281073428
1237662474231021612,SDSS J161351.60+315614.57,243.465,31.93738,16.47,0.01,DA,14712,97,8.176,0.0049763762089209
1237662500546543728,SDSS J162845.72+315627.02,247.1905,31.94084,17.14,0.02,DAO/sdO,99018,2334,7.41,0.00129351306950818
1237674365381181450,SDSS J074213.37+315703.25,115.5557,31.9509,16.83,0,DAH,9750,1000,8.25,0.00282724763014171
1237657628434759927,SDSS J081933.58+315854.34,124.8899,31.98176,19,0.02,DA,17498,186,8.012,0.0040730332202514
1237662662137151583,SDSS J150222.36+320220.76,225.5932,32.0391,17.6,0.02,B/DAZ,31668,134,5.619,0.00312487196207794
1237665569838924038,SDSS J172451.55+320352.38,261.2148,32.06455,18.95,0.02,DA,24270,269,8.069,0.00236182384877809
1237661464914755608,SDSS J160205.60+320419.56,240.5233,32.0721,16.4,0.01,DB,16000,32,8.082,0.00553978294344829
1237664852034322539,SDSS J142837.81+320639.28,217.1575,32.11091,17.37,0.01,DA,22094,112,8.072,0.00703599591887233
1237654953210609953,SDSS J171729.94+320718.88,259.3748,32.12191,17.03,0.01,DAB,32727,149,5.52,0.000548451419281158
1237665582725922883,SDSS J173057.93+320736.98,262.7414,32.12694,15.92,0.01,sdB,29612,104,5.52,0.00105840018825238
1237665128016183336,SDSS J135920.78+320846.43,209.8366,32.14623,18.56,0.02,He-sdB,41000,3500,6.04,0.00122128964173059
1237664854183510146,SDSS J144820.93+320956.16,222.0872,32.1656,16.52,0.01,DAB,24633,181,5,0.000183656280923076
1237659162816938091,SDSS J164643.95+321018.84,251.6831,32.1719,18,0.01,DA,15267,99,8.07,0.00600554274158825
1237666216225210495,SDSS J011605.53+321305.74,19.02304,32.21826,18.81,0.07,DA,29521,321,7.558,0.000516032396817342
1237665329853431813,SDSS J123114.72+321352.00,187.8113,32.23111,18.58,0.01,DB,10021,218,8,0.000284076995118444
1237657774464303255,SDSS J081934.42+322412.06,124.8934,32.40335,17.65,0.02,DA,27216,109,8.047,0.000933364213440062
1237664854183313420,SDSS J144601.52+322824.35,221.5063,32.47343,18.5,0.02,DA,20389,184,7.817,0.00146032736909933
1237662683609104455,SDSS J142446.24+322930.37,216.1927,32.49177,18.91,0.01,DB,18679,500,8.172,0.00241803998917272
1237659325496230136,SDSS J165257.85+323030.89,253.241,32.50858,18.44,0.02,DAO,36390,736,5.6,0.00149904785418269
1237664854183116898,SDSS J144406.42+323115.42,221.0267,32.52095,17.65,0.02,DA,18670,96,8.021,0.00336836165309172
1237671935508414519,SDSS J171832.01+323345.04,259.6334,32.56251,18.23,0.01,DA,23319,253,7.975,0.00216927617527343
1237659119873163445,SDSS J163348.91+323616.34,248.4538,32.60454,18.61,0.02,DA,15704,149,8.072,0.00322073739951503
1237671935508283549,SDSS J171725.91+324139.16,259.358,32.69421,17.5,0.01,DA,26529,102,7.973,0.00234554746346436
1237662307807002653,SDSS J153204.36+324152.66,233.0182,32.69796,17.79,0.02,He-sdB,46069,1221,5.53,0.00133719787351801
1237674289144070448,SDSS J074458.09+324259.87,116.242,32.71663,18.26,0.01,He-sdB,34735,311,5.73,0.000174613935992328
1237668352429850843,SDSS J172822.32+324521.17,262.093,32.75588,18.4,0.02,DA,31652,167,8.06,0.00160680549507296
1237659326570102807,SDSS J165633.19+324620.03,254.1383,32.77223,18.92,0.02,DA,17091,206,8.018,0.00283740901505039
