#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J112730.45-013801.93,171.87688,-1.63387,18.12, 0.01,DZ, 11812,  100, 8.000
SDSS J142352.84-013800.02,215.97017,-1.63334,18.65, 0.01,DA, 19719,  195, 7.907
SDSS J102807.83-013552.94,157.03262,-1.59804,18.98, 0.02,DBAZ, 13414,   79, 8.000
SDSS J235233.04-013552.44,358.13767,-1.5979,17.5, 0.02,DA, 17866,   80, 8.026
SDSS J092539.56-013329.99,141.41483,-1.55833,18.85, 0.01,DA, 49271,  981, 8.014
SDSS J142551.29-013317.24,216.46371,-1.55479,16.33, 0.02,sdO, 39779,  345, 5.000
SDSS J104549.08-013137.24,161.4545,-1.52701,18.91, 0.02,DA, 14107,  141, 8.109
SDSS J092654.51-013111.01,141.72713,-1.51972,18.48, 0.01,DB, 18550,  500, 8.042
SDSS J152222.15-013018.43,230.59229,-1.50512,17.68, 0.01,sdB, 29049,  218, 5.570
SDSS J025301.60-013006.95,43.25667,-1.50193,17.39, 0.02,DA+M4, 29727,  107, 7.640
SDSS J151415.66-012925.33,228.56525,-1.49037,16.75, 0.02,He-sdO, 50000,   50, 7.000
SDSS J143423.04-012856.35,218.596,-1.48232,18.88, 0.02,A/DAZ, 32703,  464, 5.485
SDSS J113325.85-012829.24,173.35771,-1.47479,17.4, 0.02,DBA, 14877,   50, 8.238
SDSS J142920.60-012551.78,217.33583,-1.43105,18, 0.02,DA, 30482,  114, 8.012
SDSS J145140.84-012524.02,222.92017,-1.42334,18.18, 0.03,DA, 39294,  305, 8.017
SDSS J152226.05-012327.24,230.60854,-1.3909,17.98, 0.01,DAO/sdO,100000, 9000, 7.070
SDSS J094315.59-012247.39,145.81496,-1.37983,16.49, 0.01,DA, 15777,   40, 8.091
SDSS J105044.13-012137.08,162.68388,-1.3603,18.22, 0.02,DA, 22989,  155, 7.950
SDSS J143252.34-012109.90,218.21808,-1.35275,17.51, 0.02,DA, 16737,   67, 8.267
SDSS J140118.75-012024.90,210.32812,-1.34025,16.92, 0.02,DAB, 33555,  179, 5.720
SDSS J103536.44-011849.17,158.90183,-1.31366,18.83, 0.01,DB, 22528, 1000, 7.882
SDSS J094957.05-011609.45,147.48771,-1.26929,18.2, 0.01,DB, 16130,  100, 8.114
SDSS J124251.16-011607.43,190.71317,-1.26873,18.65, 0.03,DC+M, 11937,  308, 8.890
SDSS J101005.58-011553.42,152.52325,-1.26484,18.9, 0.01,DA, 21983,  339, 7.992
SDSS J093740.16-011520.66,144.41733,-1.25574,18.09, 0.02,DA, 39286,  301, 7.615
SDSS J222542.65-011405.36,336.42771,-1.23482,18.58, 0.01,DA:,  6000, 1000, 8.334
SDSS J150032.31-011404.85,225.13462,-1.23468,16.67, 0.01,DAZ,  8739,   27, 5.000
SDSS J142129.36-011204.43,215.37233,-1.20123,18.87, 0.01,DA, 18083,  189, 7.977
SDSS J222515.34-011156.90,336.31392,-1.19914,18.42, 0.02,He-sdB, 48462,   47, 7.370
SDSS J102035.69-011156.80,155.14871,-1.19911,18.45, 0.02,DA, 23605,  182, 7.499
SDSS J133611.02-011156.08,204.04592,-1.19891,18.34, 0.02,He-sdB, 34521,  426, 5.500
SDSS J134635.68-001804.54,206.64867,-0.30126,18.88, 0.02,DAB, 23729,  369, 5.000
SDSS J231640.19-010951.62,349.16746,-1.16434,18.36, 0.14,DA, 19572,  129, 7.840
SDSS J150909.60-010827.10,227.29,-1.14086,16.94, 0.02,DAB, 96552, 2035, 8.400
SDSS J085000.31-010630.60,132.50129,-1.1085,18.95, 0.02,DA,  9049,   34, 8.317
SDSS J101113.54-010626.39,152.80642,-1.10733,18.69, 0.02,He-sdO, 72103, 4023, 5.010
SDSS J213401.57-010439.54,323.50654,-1.07765,17.95, 0.02,sdB, 25125,  263, 5.000
SDSS J095019.72-010423.52,147.58217,-1.0732,16.81, 0.03,DAO,100000, 9000, 7.580
SDSS J110302.37-010338.92,165.75987,-1.06081,16.39, 0.03,sdB, 31169,   91, 5.440
